uri	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	clusters
spotify:track:1ryMgu0CnRSseTYpvMDOLD	0.501	0.76	2	-5.802	0	0.0343	0.00268	0.0616	0.152	0.138	83.046	279893	-1
spotify:track:2iFgHPoa7FNHwgLnjXzu7F	0.581	0.822	11	-7.341	1	0.0574	0.0229	0.0	0.126	0.3	116.929	273707	-1
spotify:track:2KsHzM4L7ThhNJB6MHXkPx	0.55	0.569	7	-7.683	0	0.0462	0.132	1.47e-05	0.174	0.0518	123.179	321687	-1
spotify:track:2Tqu8wZeY7Hcj0ugSVvmjS	0.664	0.808	2	-7.998	1	0.0335	0.0537	0.912	0.0977	0.0901	120.0	346253	-1
spotify:track:1T8IRUJBga0JXioJZvxjBR	0.521	0.895	7	-5.242	1	0.0442	5.54e-05	0.349	0.0985	0.237	120.117	322340	12
spotify:track:5vZ4IeUenK2cHub2d7yfWk	0.652	0.894	0	-5.145	0	0.0409	0.00404	0.00381	0.124	0.76	132.03	277397	12
spotify:track:39RKlCfLoqb8o2aXfpVfjW	0.47	0.959	10	-4.338	1	0.075	0.00535	0.0101	0.141	0.199	88.0	272413	12
spotify:track:4w3R0GZ2rScJMKlgPJzHRq	0.51	0.917	4	-4.806	0	0.0854	0.0054	0.000133	0.396	0.313	75.098	272440	2
spotify:track:4aFC7Mes7CW5vHcb8ZApAx	0.424	0.59	2	-5.531	0	0.0294	0.00389	0.000432	0.114	0.204	136.033	271173	-1
spotify:track:0xQZkTxb49QpopIZQhKJUY	0.637	0.658	2	-5.775	1	0.0291	0.00918	0.00229	0.295	0.328	96.072	264267	-1
spotify:track:4D1VchY3LaTzchH12BCLoe	0.685	0.92	0	-4.046	1	0.0807	0.000676	0.00293	0.373	0.456	124.982	230267	2
spotify:track:73se54LukI1xEPE8XKsrWf	0.67	0.755	3	-7.416	1	0.031	0.000358	0.244	0.344	0.813	111.984	289267	-1
spotify:track:0EAKf1NdBfTiK1idL7yLTg	0.573	0.773	7	-4.629	1	0.0442	0.00158	0.0957	0.0734	0.541	134.977	239080	12
spotify:track:7Kl8hfSH4uG9nEFTkA5CNG	0.658	0.698	4	-7.851	1	0.0458	0.00169	0.784	0.391	0.141	113.919	206333	2
spotify:track:3X0K6fII7VIwL1URPrp8Ko	0.648	0.896	2	-4.254	1	0.041	0.00138	0.000819	0.0879	0.468	128.115	217107	12
spotify:track:56SLMIzWKrEOWIQ5LCzKXV	0.609	0.718	9	-5.809	1	0.0412	0.0261	0.00173	0.275	0.189	125.048	278211	2
spotify:track:0Fw9QrEUn6XM9zHTrsNd5W	0.802	0.837	9	-9.442	0	0.0469	0.00122	0.817	0.0831	0.796	130.02	415385	-1
spotify:track:1N3YbdM8HfuaTQ1nIhLqic	0.798	0.962	10	-6.489	0	0.0555	0.000765	0.768	0.299	0.3	129.983	219692	2
spotify:track:3FUptqHT3emharPqgXuJlu	0.737	0.711	9	-7.955	0	0.13	0.00215	0.927	0.0533	0.3	128.004	371250	-1
spotify:track:0M8CqbYjNu7czM3ehVHfKk	0.831	0.804	11	-5.034	1	0.0519	0.000622	0.686	0.0908	0.573	124.995	216960	-1
spotify:track:7bTUpjTHCuorKO3MOZtOjr	0.789	0.46	5	-9.298	0	0.0405	0.0242	7.93e-05	0.081	0.694	132.006	280115	11
spotify:track:2rAqsl7spI4zKSI4NCPwY4	0.758	0.95	7	-7.382	1	0.0585	0.000427	0.827	0.0614	0.492	127.013	171541	-1
spotify:track:4OPFSpwqJQygQ7JxL5JMN8	0.867	0.748	5	-5.962	0	0.0809	0.00185	0.895	0.0374	0.785	124.991	195360	-1
